compound,auid,aurl,spacegroup_relax,Pearson_symbol_relax,ael_shear_modulus_hrv,ael_bulk_modulus_hrv
Pa1Rh3,aflow:911e41333ff6910f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pa1Rh3_ICSD_105586,221,cP4,81.6018,196.606
Pa2Sb4,aflow:0aeb6941dee60e0a,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pa1Sb2_ICSD_648339,129,tP6,39.2424,86.8647
Pa6Sb8,aflow:392a4ca8e5577aea,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/BCC/Pa3Sb4_ICSD_601258,220,cI28,41.1348,83.2611
Pb1Pd3,aflow:e4563510401c6a2b,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1Pd3_ICSD_42600,221,cP4,44.713,127.056
Pb1Pt3,aflow:f1a6536978f52238,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1Pt3_ICSD_105603,221,cP4,35.6538,171.094
Pb1Pt5Si1,aflow:f929956749d4eea1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pb1Pt5Si1_ICSD_648402,123,tP7,50.8883,205.654
Pb1Pu3,aflow:bef5c8d2d70d0534,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1Pu3_ICSD_105605,221,cP4,22.7747,56.6111
Pb1S1,aflow:0eba6b16a3d9271f,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1S1_ICSD_169770,225,cF8,26.8337,53.4722
Pb1S1,aflow:f716dece2bf898a1,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1S1_ICSD_183242,221,cP2,7.86177,56.35
Pb1S1,aflow:fa88375bedf272e8,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pb1S1_ICSD_183245,187,hP2,11.395,49.4473
Pb1Se1,aflow:37d22335d6f94c61,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1Se1_ICSD_77870,221,cP2,4.35579,50.8611
Pb1Se1,aflow:fc52354a1b50ff61,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1Se1_ICSD_183008,225,cF8,23.6128,47.7222
Pb1Te1,aflow:bb46abee42773b80,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb1Te1_ICSD_648602,221,cP2,9.52079,42.2889
Pb1Te1,aflow:dcdbde34e53a534d,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Pb1Te1_ICSD_153711,225,cF8,19.7885,39.4722
Pb26Rh8Sr6,aflow:c27bd77e21eac7d6,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/Pb13Rh4Sr3_ICSD_105610,223,cP40,20.7278,55.0111
Pb2Pd4Tb4,aflow:98c173524a8ab9ca,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pb1Pd2Tb2_ICSD_99195,127,tP10,26.6155,82.4846
Pb2Pd4Y4,aflow:af66b7469d406323,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TET/Pb1Pd2Y2_ICSD_99189,127,tP10,27.3403,83.3055
Pb2S12Ta6,aflow:5d7afc6e6d5a5ee4,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Pb0.33S2Ta1_ICSD_74693,193,hP20,39.5036,63.1637
